split,speaker_id,n_utterances,n_spoof,hours
dev,LA_0069,2638,2484,2.088
dev,LA_0070,1988,1848,1.296
dev,LA_0071,1988,1848,1.289
dev,LA_0072,2638,2484,1.963
dev,LA_0073,1988,1848,1.377
dev,LA_0074,2638,2484,2.023
dev,LA_0075,2638,2484,2.068
dev,LA_0076,1988,1848,1.293
dev,LA_0077,2638,2484,1.949
dev,LA_0078,2638,2484,2.002
dev,LA_0099,77,0,0.042
dev,LA_0100,77,0,0.053
dev,LA_0101,77,0,0.043
dev,LA_0102,126,0,0.087
dev,LA_0103,126,0,0.066
dev,LA_0104,126,0,0.096
dev,LA_0105,77,0,0.038
dev,LA_0106,126,0,0.085
dev,LA_0107,126,0,0.101
dev,LA_0108,126,0,0.073
train,LA_0079,1243,1116,0.996
train,LA_0080,1243,1116,0.829
train,LA_0081,1243,1116,0.908
train,LA_0082,1308,1176,0.868
train,LA_0083,1308,1176,0.947
train,LA_0084,1243,1116,0.969
train,LA_0085,1243,1116,0.929
train,LA_0086,1243,1116,0.902
train,LA_0087,1243,1116,0.936
train,LA_0088,1243,1116,0.942
train,LA_0089,1308,1176,0.944
train,LA_0090,1243,1116,0.895
train,LA_0091,1243,1116,0.967
train,LA_0092,1308,1176,0.781
train,LA_0093,1308,1176,0.786
train,LA_0094,1308,1176,0.861
train,LA_0095,1308,1176,0.892
train,LA_0096,1308,1176,0.9
train,LA_0097,1243,1116,1.047
train,LA_0098,1243,1116,0.96
